,mine_id,UF,distance_km,number_of_fish,number_of_species,mine_type,mean_value,mean_number,mean_carnivorous_value,mean_carnivorous_number,mean_non_carnivorous_value,mean_non_carnivorous_number
4,48,Maraã (AM),588.1371115606469,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
14,61,Maraã (AM),590.9482297514309,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
24,66,Maraã (AM),560.4120516318354,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
34,67,Maraã (AM),567.813190408661,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
44,68,Maraã (AM),571.267421803719,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
54,69,Maraã (AM),570.7350378928553,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
65,72,Oiapoque (AP),145.8180958530922,41,12,Illegal,0.19,0.28,0.25,32,0.0,9
74,74,Maraã (AM),567.026955418561,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
84,77,Maraã (AM),561.623004990267,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
95,78,Oiapoque (AP),154.4578074026808,41,12,Illegal,0.19,0.28,0.25,32,0.0,9
104,80,Maraã (AM),532.6385096446493,48,15,Illegal,0.12,0.12,0.33,6,0.1,42
112,116,Macapá (AP),295.49212027340815,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
122,117,Macapá (AP),300.10976599681163,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
132,120,Macapá (AP),302.3621546229748,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
142,121,Macapá (AP),309.3160855657061,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
152,123,Macapá (AP),314.57040701475785,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
162,126,Macapá (AP),242.94809312085775,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
172,127,Macapá (AP),244.09778904723288,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
182,129,Macapá (AP),234.4727933288127,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
192,130,Macapá (AP),265.2323814768626,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
202,131,Macapá (AP),247.59936902155377,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
212,133,Macapá (AP),246.50168581293096,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
222,134,Macapá (AP),243.400366500458,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
232,135,Macapá (AP),234.48046343032823,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
242,137,Macapá (AP),259.52817706675035,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
252,138,Macapá (AP),229.9862907798283,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
262,139,Macapá (AP),251.64491213695155,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
272,140,Macapá (AP),242.2838334234517,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
282,141,Macapá (AP),252.02535093816257,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
292,142,Macapá (AP),254.7867710038297,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
302,143,Macapá (AP),247.70449386397607,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
312,149,Macapá (AP),232.9532490609027,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
322,151,Macapá (AP),226.6253935661914,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
332,152,Macapá (AP),225.28232680726236,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
342,153,Macapá (AP),210.32172167970623,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
352,155,Macapá (AP),220.60230175021914,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
362,156,Macapá (AP),203.08389737069214,73,25,Illegal,0.17,0.24,0.28,42,0.03,31
371,336,Itaituba (PA),174.081632212749,71,24,Illegal,0.29,0.39,0.65,26,0.08,45
381,337,Itaituba (PA),173.95739200979608,71,24,Illegal,0.29,0.39,0.65,26,0.08,45
391,338,Itaituba (PA),174.50736662272155,71,24,Illegal,0.29,0.39,0.65,26,0.08,45
401,344,Itaituba (PA),183.3006979063689,71,24,Illegal,0.29,0.39,0.65,26,0.08,45
411,345,Itaituba (PA),174.29838764682498,71,24,Illegal,0.29,0.39,0.65,26,0.08,45
421,347,Itaituba (PA),188.1155860637405,71,24,Illegal,0.29,0.39,0.65,26,0.08,45
431,349,Itaituba (PA),178.92128249469354,71,24,Illegal,0.29,0.39,0.65,26,0.08,45
441,350,Itaituba (PA),145.02368023329464,71,24,Illegal,0.29,0.39,0.65,26,0.08,45
