,Unnamed: 0,Mine ID,Original source of the airstrip’s location,Mining activity seen up to 20km of airstrip location,latitude,longitude,Attribution,geometry,index_right,FEATURECLA,NAME,NAMEALT,REGION,SUBREGION,MIN_LABEL,MAX_LABEL,SCALERANK,LABEL,WIKIDATAID,NAME_AR,NAME_BN,NAME_DE,NAME_EN,NAME_ES,NAME_FR,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_VI,NAME_ZH,NE_ID,NAME_FA,NAME_HE,NAME_UK,NAME_UR,NAME_ZHT
0,0,48,Earthrise Media,True,3.11671623,-63.70780353,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-63.70780353 3.11671623),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
1,1,61,Earthrise Media,True,2.75932812,-62.90830532,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-62.90830532 2.75932812),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
2,2,66,Open Street Maps,True,2.6870895,-63.352787,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-63.352787 2.6870895),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
3,3,67,Earthrise Media,True,2.658127422,-63.15315757,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-63.15315757 2.658127422),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
4,4,68,Earthrise Media,True,2.630448232,-63.04015719,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-63.04015719 2.630448232),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
5,5,69,Earthrise Media,True,2.61803619,-63.02829671,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-63.02829671 2.61803619),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
6,6,72,Open Street Maps,True,2.527714,-51.743822,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-51.743822 2.527714),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
7,7,74,Open Street Maps/Earthrise Media,True,2.4971425,-62.892893,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-62.892893 2.4971425),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
8,8,77,Earthrise Media,True,2.459934293,-62.92539868,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-62.92539868 2.459934293),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
9,9,78,Open Street Maps,True,2.451026,-51.721913,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html ",POINT (-51.721913 2.451026),0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
