,PROCESSO,NUMERO,ANO,AREA_HA,ID,FASE,ULT_EVENTO,NOME,SUBS,USO,UF,DSProcesso,geometry,index_right,FEATURECLA,NAME,NAMEALT,REGION,SUBREGION,MIN_LABEL,MAX_LABEL,SCALERANK,LABEL,WIKIDATAID,NAME_AR,NAME_BN,NAME_DE,NAME_EN,NAME_ES,NAME_FR,NAME_EL,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_VI,NAME_ZH,NE_ID,NAME_FA,NAME_HE,NAME_UK,NAME_UR,NAME_ZHT
3375,880043/2024,880043,2024,2.71,{2E4161D6-9E5B-4BE7-991A-ECDB5FD90C7C},REQUERIMENTO DE PESQUISA,136 - REQ PESQ/DOCUMENTO DIVERSO PROTOCOLIZADO EM 23/07/2024,AMAZONIA TESOUROS E RESERVAS LTDA,MINÉRIO DE OURO,Industrial,AM,880.043/2024,"POLYGON Z ((-58.811889900999915 -5.843727305999948 0, -58.81209801999995 -5.843750176999947 0, -58.813375454999914 -5.843702653999912 0, -58.81388339999995 -5.843584373999931 0, -58.81427445399993 -5.843336268999906 0, -58.8145497509999 -5.843029763999937 0, -58.81469389699993 -5.8426513489999365 0, -58.81471741099995 -5.842406371999914 0, -58.814349533999916 -5.842651404999913 0, -58.81263220499994 -5.842837306999911 0, -58.81224972299992 -5.843029170999955 0, -58.811677381999914 -5.84360268699993 0, -58.81162834999992 -5.843698563999908 0, -58.811889900999915 -5.843727305999948 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
5407,886271/2021,886271,2021,1.45,{24C3F9FB-9518-4787-AC65-54D5111FBF04},REQUERIMENTO DE LAVRA GARIMPEIRA,2112 - REQ PLG/EXIGENCIA OPÇÃO DE AREA EM 31/01/2023,COOPERATIVA DOS GARIMPEIROS E MINERADORES DO BRASIL,CASSITERITA,Industrial,RO,886.271/2021,"POLYGON Z ((-61.828090277999934 -9.400009156999943 0, -61.828090277999934 -9.40261279799995 0, -61.828116199999954 -9.402404711999907 0, -61.82894501099992 -9.401502429999937 0, -61.828629098999954 -9.400584413999923 0, -61.828090277999934 -9.400009156999943 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
22462,752929/1996,752929,1996,49.89,{0362A2C2-CC24-45C0-8F37-3C9A3244579C},DISPONIBILIDADE,1352 - DISPONIB/TORNA S/EFEITO DISPONIB ART 26- ÁREA REQ PLG EM 07/04/2017,JENCKSIN LOPES CHAGAS,MINÉRIO DE OURO,Demais substâncias,PA,752.929/1996,"POLYGON Z ((-56.821331796999914 -6.175603504999913 0, -56.82133187799991 -6.1801219429999605 0, -56.82133679399993 -6.1801219429999605 0, -56.82133679399993 -6.180113922999908 0, -56.83036334299993 -6.180113991999917 0, -56.830363338999916 -6.175600680999935 0, -56.8213280839999 -6.175600612999915 0, -56.8213280839999 -6.175603504999913 0, -56.821331796999914 -6.175603504999913 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
20199,850394/2024,850394,2024,10.0,{5FF69211-D10E-4732-950F-199288DECC14},REQUERIMENTO DE LICENCIAMENTO,1149 - REQ LICEN/CUMPRIMENTO EXIGÊNCIA PROTOCOLIZAD EM 05/09/2024,DEUS E FIEL MINERACAO LTDA,GRANITO,Revestimento,PA,850.394/2024,"POLYGON Z ((-49.86057083299994 -4.111628332999942 0, -49.858255555999904 -4.111628332999942 0, -49.858255555999904 -4.114545277999923 0, -49.85918305599995 -4.114545277999923 0, -49.85918305599995 -4.115546666999933 0, -49.86057083299994 -4.115546666999933 0, -49.86057083299994 -4.111628332999942 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
767,886369/1998,886369,1998,50.0,{4658379A-B1B3-4C3F-A1C6-E246A6B02A5C},REQUERIMENTO DE LAVRA GARIMPEIRA,335 - REQ PLG/INDEFERIMENTO PUBLICADO EM 01/09/2009,LAERCIO DE OLIVEIRA BOTELHO,OURO,Demais substâncias,RO,886.369/1998,"POLYGON Z ((-64.67528004399992 -9.286593000999915 0, -64.67528003799993 -9.282072333999906 0, -64.66617848899995 -9.282072231999905 0, -64.6661783799999 -9.28659289999996 0, -64.67528004399992 -9.286593000999915 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
2644,864146/2021,864146,2021,522.57,{80C374E5-4B2D-40E3-A691-13D4F4437F8F},AUTORIZAÇÃO DE PESQUISA,264 - AUT PESQ/PAGAMENTO TAH EFETUADO EM 22/07/2024,J C BATISTA ENGENHARIA E PROJETOS EIRELI,MINÉRIO DE FERRO,Industrial,TO,864.146/2021,"POLYGON Z ((-47.96608722199994 -10.206319443999917 0, -47.96608722199994 -10.210129999999936 0, -47.95765694399995 -10.210129999999936 0, -47.95765694399995 -10.207473888999914 0, -47.949589999999944 -10.207473888999914 0, -47.949589999999944 -10.215574166999943 0, -47.9633711109999 -10.215574166999943 0, -47.9633711109999 -10.220435277999911 0, -47.97496249999995 -10.220435277999911 0, -47.97496249999995 -10.223616388999915 0, -47.978751666999926 -10.223616388999915 0, -47.978751666999926 -10.226219999999955 0, -47.98057944399994 -10.226219999999955 0, -47.98057944399994 -10.22870527799995 0, -47.98192222199992 -10.22870527799995 0, -47.98192222199992 -10.226283055999943 0, -47.98440166699993 -10.226283055999943 0, -47.98440166699993 -10.206319443999917 0, -47.96608722199994 -10.206319443999917 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
5767,886061/2024,886061,2024,9931.32,{5902E25F-C453-495B-B081-E02A25920BC9},REQUERIMENTO DE LAVRA GARIMPEIRA,333 - REQ PLG/REQUERIMENTO LAVRA GARIMPEIRA PROTOCOLIZADO EM 02/04/2024,COOPMGE - COOPERATIVA DE MINERADORES E GARIMPEIROS ELDORADO,CASSITERITA,Industrial,RO,886.061/2024,"POLYGON Z ((-62.774980555999946 -8.31983166699996 0, -62.774980555999946 -8.32499916699993 0, -62.749783332999925 -8.32499916699993 0, -62.749783332999925 -8.352861110999925 0, -62.7135424999999 -8.352861110999925 0, -62.7135424999999 -8.376645832999941 0, -62.72008833299992 -8.376645832999941 0, -62.72008833299992 -8.38819861099995 0, -62.75678472199991 -8.38819861099995 0, -62.75678472199991 -8.397464721999938 0, -62.80095638899991 -8.397464721999938 0, -62.80095638899991 -8.37732555599996 0, -62.841050555999914 -8.37732555599996 0, -62.841050555999914 -8.359656943999937 0, -62.85314444399995 -8.359656943999937 0, -62.85314444399995 -8.336856110999918 0, -62.87565499999994 -8.336856110999918 0, -62.87565499999994 -8.31983166699996 0, -62.774980555999946 -8.31983166699996 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
12269,850694/2017,850694,2017,12.19,{924595F5-CECB-4AFE-A056-AE5DC87F6F10},LICENCIAMENTO,730 - LICEN/LICENCIAMENTO AUTORIZADO PUBLICADO EM 18/12/2017,Luis Alves Coutinho,AREIA,Construção civil,PA,850.694/2017,"POLYGON Z ((-54.07111111099994 -1.9559980559999417 0, -54.07111111099994 -1.9578258329999585 0, -54.07197722199993 -1.9578258329999585 0, -54.07197722199993 -1.957746110999949 0, -54.072730555999954 -1.957746110999949 0, -54.072730555999954 -1.9576774999999316 0, -54.073479999999904 -1.9576774999999316 0, -54.073479999999904 -1.9576088889999141 0, -54.0742258329999 -1.9576088889999141 0, -54.0742258329999 -1.9575291669999615 0, -54.07497166699994 -1.9575291669999615 0, -54.07497166699994 -1.9574683329999516 0, -54.07571361099991 -1.9574683329999516 0, -54.07571361099991 -1.9573869439999498 0, -54.0765277779999 -1.9573869439999498 0, -54.0765277779999 -1.9555277779999187 0, -54.07569055599993 -1.9555277779999187 0, -54.07569055599993 -1.9556480559999159 0, -54.0749449999999 -1.9556480559999159 0, -54.0749449999999 -1.9557166669999333 0, -54.07420305599993 -1.9557166669999333 0, -54.07420305599993 -1.9557849999999348 0, -54.073457221999945 -1.9557849999999348 0, -54.073457221999945 -1.9558497219999254 0, -54.07271138899995 -1.9558497219999254 0, -54.07271138899995 -1.9559258329999238 0, -54.07196194399995 -1.9559258329999238 0, -54.07196194399995 -1.9559980559999417 0, -54.07111111099994 -1.9559980559999417 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
3781,750341/1995,750341,1995,50.0,{1B3203FE-6DB5-4284-B7AA-84D85230F531},REQUERIMENTO DE LAVRA GARIMPEIRA,1222 - REQ PLG/RECURSO NEGADO PUBLICADO EM 12/09/2017,ANTONIO JOSE TAVARES DA LUZ,OURO,Demais substâncias,PA,750.341/1995,"POLYGON Z ((-56.775609404999955 -6.628636240999924 0, -56.775609404999955 -6.62864058699995 0, -56.775589133999915 -6.62864058699995 0, -56.775589055999944 -6.633157492999942 0, -56.78463236099992 -6.633157565999909 0, -56.78463235599992 -6.628636314999937 0, -56.775609404999955 -6.628636240999924 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
18489,850815/2022,850815,2022,49.84,{D947385A-746E-4234-9122-607B719CA222},REQUERIMENTO DE PESQUISA,1274 - REQ PESQ/REQ PROVENIENTE DE CESSÃO PARCIAL PROTOC EM 26/10/2022,ANTONIO MIGUEL SIRUGE,MINÉRIO DE OURO,Industrial,PA,850.815/2022,"POLYGON Z ((-55.113528610999936 -4.125344999999925 0, -55.109026110999935 -4.125344999999925 0, -55.109026110999935 -4.134359999999958 0, -55.113528610999936 -4.134359999999958 0, -55.113528610999936 -4.125344999999925 0))",0,Basin,AMAZON BASIN,,South America,,2,6,1,AMAZON BASIN,Q244451,حوض الأمازون,আমাজন বেসিন,Amazonasbecken,Amazon basin,Cuenca del Amazonas,bassin amazonien,λεκάνη του Αμαζονίου,अमेज़न बेसिन,Amazonas-medence,Basin Amazon,Bacino dell'Amazzonia,アマゾン盆地,아마존 분지,Amazonebekken,Nizina Amazonki,Bacia do rio Amazonas,Амазонская низменность,Amazonområdet,Amazon Havzası,Lưu vực Amazon,亞馬遜盆地,1159104325,حوضه آمازون,אמזוניה,Амазонська низовина,ایمیزون بیسن,亞馬遜盆地
